Model,AUC,Threshold,Net_Benefit
Random Forest,0.8423973362930077,0.48000000000000004,0.09849409849409849
Random Forest,0.8423973362930077,0.49,0.09430438842203548
Random Forest,0.8423973362930077,0.5,0.10052910052910052
Random Forest,0.8423973362930077,0.51,0.10214879602634704
Random Forest,0.8423973362930077,0.52,0.09920634920634919
Random Forest,0.8423973362930077,0.53,0.10165484633569738
Random Forest,0.8423973362930077,0.54,0.09822866344605474
Random Forest,0.8423973362930077,0.55,0.10111699000587887
Random Forest,0.8423973362930077,0.56,0.09764309764309763
Random Forest,0.8423973362930077,0.5700000000000001,0.09573028177679338
Random Forest,0.8423973362930077,0.5800000000000001,0.08692365835222975
Random Forest,0.8423973362930077,0.59,0.07794554136017552
Random Forest,0.8423973362930077,0.6,0.07407407407407408
Random Forest,0.8423973362930077,0.61,0.0647130647130647
Random Forest,0.8423973362930077,0.62,0.05513784461152882
Random Forest,0.8423973362930077,0.63,0.04004004004004004
Random Forest,0.8423973362930077,0.64,0.044679600235155784
Random Forest,0.8423973362930077,0.65,0.04006046863189719
Random Forest,0.8423973362930077,0.66,0.029878618113912223
Random Forest,0.8423973362930077,0.67,0.014109347442680747
Random Forest,0.8423973362930077,0.68,-0.0013227513227513504
Random Forest,0.8423973362930077,0.6900000000000001,-0.00665642601126476
Random Forest,0.8423973362930077,0.7000000000000001,-2.7755575615628914e-17
Random Forest,0.8423973362930077,0.7100000000000001,-0.005473453749315876
Random Forest,0.8423973362930077,0.72,-0.021919879062736194
Random Forest,0.8423973362930077,0.73,-0.013913384283754632
Random Forest,0.8423973362930077,0.74,-0.015466015466015448
Random Forest,0.8423973362930077,0.75,-0.021164021164021163
Random Forest,0.8423973362930077,0.76,-0.027336860670194016
Random Forest,0.8423973362930077,0.77,-0.039337474120082816
Random Forest,0.8423973362930077,0.78,-0.051948051948051965
Random Forest,0.8423973362930077,0.79,-0.04006046863189723
Random Forest,0.8423973362930077,0.8,-0.052910052910052935
Random Forest,0.8423973362930077,0.81,-0.061264271790587604
Random Forest,0.8423973362930077,0.8200000000000001,-0.07583774250440922
