Model,AUC,AP,Recall,Precision
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9433962264150944,0.4065040650406504
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9433962264150944,0.4166666666666667
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9433962264150944,0.423728813559322
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9245283018867925,0.4224137931034483
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9245283018867925,0.4260869565217391
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9056603773584906,0.4247787610619469
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9056603773584906,0.43636363636363634
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8867924528301887,0.4351851851851852
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8867924528301887,0.4392523364485981
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8867924528301887,0.44339622641509435
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8867924528301887,0.4519230769230769
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8679245283018868,0.45098039215686275
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8490566037735849,0.44554455445544555
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8301886792452831,0.44
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8301886792452831,0.4489795918367347
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8301886792452831,0.4631578947368421
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.46236559139784944
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.4673913043478261
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.4725274725274725
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.4777777777777778
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.48314606741573035
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.48863636363636365
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.4942528735632184
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.5058823529411764
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.5119047619047619
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.524390243902439
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.5308641975308642
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.5375
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.5443037974683544
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.5584415584415584
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.8113207547169812,0.5657894736842105
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7924528301886793,0.5675675675675675
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7735849056603774,0.5616438356164384
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7735849056603774,0.5774647887323944
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7735849056603774,0.5857142857142857
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7735849056603774,0.6029411764705882
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7735849056603774,0.6119402985074627
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7735849056603774,0.6212121212121212
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7735849056603774,0.6307692307692307
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7735849056603774,0.640625
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7547169811320755,0.6349206349206349
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7547169811320755,0.6451612903225806
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7547169811320755,0.6557377049180327
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7547169811320755,0.6666666666666666
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.7358490566037735,0.6724137931034483
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.6981132075471698,0.6607142857142857
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.6981132075471698,0.6727272727272727
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.6792452830188679,0.6666666666666666
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.6792452830188679,0.6792452830188679
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.6792452830188679,0.6923076923076923
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.660377358490566,0.6862745098039216
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.6415094339622641,0.68
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.6415094339622641,0.6938775510204082
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.6415094339622641,0.7083333333333334
